1.1383e-4 -9.1597e+0
4.7104e-4 -8.7694e+0
8.2825e-4 -7.9588e+0
1.1725e-3 -6.7788e+0
1.5427e-3 -6.0673e+0
1.8999e-3 -4.4159e+0
2.2571e-3 -2.6445e+0
2.6143e-3 -9.0315e-1
2.9715e-3 1.0484e+0
3.3287e-3 2.5196e+0
3.6859e-3 4.2489e+0
4.0431e-3 5.6521e+0
4.4004e-3 7.0231e+0
4.7576e-3 7.9539e+0
5.1148e-3 8.4042e+0
5.4720e-3 9.2149e+0
5.8292e-3 9.3050e+0
6.1864e-3 8.7045e+0
6.5436e-3 8.1190e+0
6.9008e-3 7.2934e+0
7.2580e-3 6.1524e+0
7.6153e-3 4.5752e+0
7.9725e-3 3.3632e+0
8.3297e-3 1.9341e+0
8.6869e-3 5.8303e-1
9.0441e-3 -1.6237e+0
9.4013e-3 -2.7947e+0
9.7585e-3 -4.2058e+0
1.0116e-2 -5.3467e+0
1.0473e-2 -6.0372e+0
1.0830e-2 -6.9680e+0
1.1187e-2 -7.1781e+0
1.1545e-2 -7.2082e+0
1.1902e-2 -6.9980e+0
1.2259e-2 -6.7878e+0
1.2616e-2 -6.1874e+0
1.2973e-2 -5.5268e+0
1.3331e-2 -4.4760e+0
1.3688e-2 -3.0949e+0
1.4045e-2 -2.1041e+0
1.4402e-2 -4.2277e-1
1.4759e-2 8.0821e-1
1.5117e-2 2.2493e+0
1.5474e-2 3.3602e+0
1.5831e-2 4.5612e+0
1.6188e-2 5.5820e+0
1.6546e-2 6.1825e+0
1.6903e-2 6.7229e+0
1.7260e-2 7.2934e+0
1.7617e-2 7.3234e+0
1.7974e-2 6.7229e+0
1.8332e-2 6.1524e+0
1.8689e-2 5.4919e+0
1.9046e-2 4.2589e+0
1.9403e-2 3.4503e+0
1.9760e-2 2.6397e+0
2.0118e-2 1.1685e+0
2.0475e-2 8.7633e-2
2.0832e-2 -1.4136e+0
2.1189e-2 -2.2843e+0
2.1546e-2 -3.0348e+0
2.1904e-2 -4.0557e+0
2.2261e-2 -4.7462e+0
2.2618e-2 -5.2866e+0
2.2975e-2 -5.5368e+0
2.3170e-2 -5.5569e+0
