# Time,     alpha,     beta,     V_inf,    u(v_body_X), v(v_body_Y), w(v_body_Z),  p,       q,         r,         gx,         gy,       gz,      FX_body,    FY_body,    FZ_body  
2.000e-04, -1.981e+01, 0.000e+00, 1.031e+03, 9.704e+02, 0.000e+00, -3.495e+02, 0.000e+00, 2.523e+01, 0.000e+00, -2.739e-02, 0.000e+00, 9.810e+00, -8.194e+01, -0.000e+00, 1.704e+02
4.000e-04, -1.940e+01, 0.000e+00, 1.031e+03, 9.724e+02, 0.000e+00, -3.424e+02, 0.000e+00, 4.605e+01, 0.000e+00, -9.251e-02, 0.000e+00, 9.810e+00, -7.948e+01, -0.000e+00, 1.668e+02
6.000e-04, -1.865e+01, 0.000e+00, 1.030e+03, 9.762e+02, 0.000e+00, -3.294e+02, 0.000e+00, 6.951e+01, 0.000e+00, -2.156e-01, 0.000e+00, 9.808e+00, -7.513e+01, -0.000e+00, 1.604e+02
8.000e-04, -1.769e+01, 0.000e+00, 1.030e+03, 9.811e+02, 0.000e+00, -3.130e+02, 0.000e+00, 9.022e+01, 0.000e+00, -3.734e-01, 0.000e+00, 9.803e+00, -6.988e+01, -0.000e+00, 1.524e+02
1.000e-03, -1.650e+01, 0.000e+00, 1.029e+03, 9.870e+02, 0.000e+00, -2.923e+02, 0.000e+00, 1.098e+02, 0.000e+00, -5.732e-01, 0.000e+00, 9.793e+00, -6.364e+01, -0.000e+00, 1.422e+02
1.200e-03, -1.519e+01, 0.000e+00, 1.029e+03, 9.930e+02, 0.000e+00, -2.696e+02, 0.000e+00, 1.266e+02, 0.000e+00, -7.921e-01, 0.000e+00, 9.778e+00, -5.729e+01, -0.000e+00, 1.311e+02
1.400e-03, -1.370e+01, 0.000e+00, 1.029e+03, 9.994e+02, 0.000e+00, -2.437e+02, 0.000e+00, 1.420e+02, 0.000e+00, -1.042e+00, 0.000e+00, 9.755e+00, -5.065e+01, -0.000e+00, 1.185e+02
1.600e-03, -1.179e+01, 0.000e+00, 1.028e+03, 1.007e+03, 0.000e+00, -2.102e+02, 0.000e+00, 1.575e+02, 0.000e+00, -1.362e+00, 0.000e+00, 9.715e+00, -4.309e+01, -0.000e+00, 1.022e+02
1.800e-03, -1.002e+01, 0.000e+00, 1.028e+03, 1.012e+03, 0.000e+00, -1.789e+02, 0.000e+00, 1.687e+02, 0.000e+00, -1.658e+00, 0.000e+00, 9.669e+00, -3.704e+01, -0.000e+00, 8.695e+01
2.000e-03, -8.133e+00, 0.000e+00, 1.028e+03, 1.018e+03, 0.000e+00, -1.454e+02, 0.000e+00, 1.779e+02, 0.000e+00, -1.974e+00, 0.000e+00, 9.609e+00, -3.163e+01, -0.000e+00, 7.065e+01
2.200e-03, -5.924e+00, 0.000e+00, 1.028e+03, 1.022e+03, 0.000e+00, -1.061e+02, 0.000e+00, 1.857e+02, 0.000e+00, -2.340e+00, 0.000e+00, 9.527e+00, -2.670e+01, -0.000e+00, 5.152e+01
2.400e-03, -3.655e+00, 0.000e+00, 1.028e+03, 1.026e+03, 0.000e+00, -6.552e+01, 0.000e+00, 1.907e+02, 0.000e+00, -2.714e+00, 0.000e+00, 9.427e+00, -2.324e+01, -0.000e+00, 3.182e+01
2.600e-03, -1.689e+00, 0.000e+00, 1.028e+03, 1.027e+03, 0.000e+00, -3.028e+01, 0.000e+00, 1.928e+02, 0.000e+00, -3.035e+00, 0.000e+00, 9.329e+00, -2.156e+01, -0.000e+00, 1.471e+01
2.800e-03, 6.336e-01, 0.000e+00, 1.027e+03, 1.027e+03, 0.000e+00, 1.136e+01, 0.000e+00, 1.926e+02, 0.000e+00, -3.411e+00, 0.000e+00, 9.198e+00, -2.117e+01, -0.000e+00, -5.518e+00
3.000e-03, 2.857e+00, 0.000e+00, 1.027e+03, 1.026e+03, 0.000e+00, 5.120e+01, 0.000e+00, 1.897e+02, 0.000e+00, -3.765e+00, 0.000e+00, 9.059e+00, -2.240e+01, -0.000e+00, -2.486e+01
3.200e-03, 4.872e+00, 0.000e+00, 1.027e+03, 1.024e+03, 0.000e+00, 8.725e+01, 0.000e+00, 1.848e+02, 0.000e+00, -4.083e+00, 0.000e+00, 8.920e+00, -2.488e+01, -0.000e+00, -4.236e+01
3.400e-03, 6.937e+00, 0.000e+00, 1.027e+03, 1.020e+03, 0.000e+00, 1.241e+02, 0.000e+00, 1.772e+02, 0.000e+00, -4.403e+00, 0.000e+00, 8.766e+00, -2.874e+01, -0.000e+00, -6.022e+01
3.600e-03, 8.903e+00, 0.000e+00, 1.027e+03, 1.015e+03, 0.000e+00, 1.589e+02, 0.000e+00, 1.672e+02, 0.000e+00, -4.703e+00, 0.000e+00, 8.609e+00, -3.363e+01, -0.000e+00, -7.714e+01
3.800e-03, 1.073e+01, 0.000e+00, 1.027e+03, 1.009e+03, 0.000e+00, 1.912e+02, 0.000e+00, 1.552e+02, 0.000e+00, -4.978e+00, 0.000e+00, 8.453e+00, -3.924e+01, -0.000e+00, -9.279e+01
4.000e-03, 1.253e+01, 0.000e+00, 1.026e+03, 1.002e+03, 0.000e+00, 2.227e+02, 0.000e+00, 1.401e+02, 0.000e+00, -5.245e+00, 0.000e+00, 8.290e+00, -4.571e+01, -0.000e+00, -1.081e+02
4.200e-03, 1.390e+01, 0.000e+00, 1.026e+03, 9.961e+02, 0.000e+00, 2.466e+02, 0.000e+00, 1.257e+02, 0.000e+00, -5.444e+00, 0.000e+00, 8.160e+00, -5.126e+01, -0.000e+00, -1.196e+02
4.400e-03, 1.537e+01, 0.000e+00, 1.026e+03, 9.891e+02, 0.000e+00, 2.719e+02, 0.000e+00, 1.062e+02, 0.000e+00, -5.656e+00, 0.000e+00, 8.016e+00, -5.777e+01, -0.000e+00, -1.318e+02
4.600e-03, 1.637e+01, 0.000e+00, 1.025e+03, 9.839e+02, 0.000e+00, 2.891e+02, 0.000e+00, 8.919e+01, 0.000e+00, -5.799e+00, 0.000e+00, 7.913e+00, -6.254e+01, -0.000e+00, -1.401e+02
4.800e-03, 1.730e+01, 0.000e+00, 1.025e+03, 9.786e+02, 0.000e+00, 3.048e+02, 0.000e+00, 6.858e+01, 0.000e+00, -5.929e+00, 0.000e+00, 7.815e+00, -6.716e+01, -0.000e+00, -1.477e+02
5.000e-03, 1.793e+01, 0.000e+00, 1.025e+03, 9.748e+02, 0.000e+00, 3.154e+02, 0.000e+00, 4.862e+01, 0.000e+00, -6.019e+00, 0.000e+00, 7.746e+00, -7.042e+01, -0.000e+00, -1.527e+02
5.200e-03, 1.833e+01, 0.000e+00, 1.024e+03, 9.721e+02, 0.000e+00, 3.220e+02, 0.000e+00, 2.868e+01, 0.000e+00, -6.076e+00, 0.000e+00, 7.702e+00, -7.249e+01, -0.000e+00, -1.559e+02
5.400e-03, 1.851e+01, 0.000e+00, 1.024e+03, 9.706e+02, 0.000e+00, 3.249e+02, 0.000e+00, 7.154e+00, 0.000e+00, -6.104e+00, 0.000e+00, 7.679e+00, -7.341e+01, -0.000e+00, -1.572e+02
5.600e-03, 1.845e+01, 0.000e+00, 1.023e+03, 9.705e+02, 0.000e+00, 3.238e+02, 0.000e+00, -1.261e+01, 0.000e+00, -6.101e+00, 0.000e+00, 7.682e+00, -7.303e+01, -0.000e+00, -1.566e+02
5.800e-03, 1.814e+01, 0.000e+00, 1.023e+03, 9.718e+02, 0.000e+00, 3.183e+02, 0.000e+00, -3.439e+01, 0.000e+00, -6.062e+00, 0.000e+00, 7.713e+00, -7.125e+01, -0.000e+00, -1.539e+02
6.000e-03, 1.756e+01, 0.000e+00, 1.022e+03, 9.745e+02, 0.000e+00, 3.084e+02, 0.000e+00, -5.569e+01, 0.000e+00, -5.988e+00, 0.000e+00, 7.770e+00, -6.813e+01, -0.000e+00, -1.490e+02
6.200e-03, 1.677e+01, 0.000e+00, 1.022e+03, 9.782e+02, 0.000e+00, 2.947e+02, 0.000e+00, -7.525e+01, 0.000e+00, -5.884e+00, 0.000e+00, 7.850e+00, -6.402e+01, -0.000e+00, -1.423e+02
6.400e-03, 1.575e+01, 0.000e+00, 1.021e+03, 9.829e+02, 0.000e+00, 2.773e+02, 0.000e+00, -9.365e+01, 0.000e+00, -5.748e+00, 0.000e+00, 7.950e+00, -5.905e+01, -0.000e+00, -1.338e+02
6.600e-03, 1.474e+01, 0.000e+00, 1.021e+03, 9.873e+02, 0.000e+00, 2.597e+02, 0.000e+00, -1.082e+02, 0.000e+00, -5.609e+00, 0.000e+00, 8.048e+00, -5.435e+01, -0.000e+00, -1.253e+02
6.800e-03, 1.334e+01, 0.000e+00, 1.021e+03, 9.931e+02, 0.000e+00, 2.355e+02, 0.000e+00, -1.241e+02, 0.000e+00, -5.415e+00, 0.000e+00, 8.180e+00, -4.838e+01, -0.000e+00, -1.136e+02
7.000e-03, 1.182e+01, 0.000e+00, 1.020e+03, 9.987e+02, 0.000e+00, 2.091e+02, 0.000e+00, -1.378e+02, 0.000e+00, -5.200e+00, 0.000e+00, 8.319e+00, -4.253e+01, -0.000e+00, -1.008e+02
7.200e-03, 1.001e+01, 0.000e+00, 1.020e+03, 1.005e+03, 0.000e+00, 1.773e+02, 0.000e+00, -1.507e+02, 0.000e+00, -4.937e+00, 0.000e+00, 8.477e+00, -3.642e+01, -0.000e+00, -8.548e+01
7.400e-03, 8.261e+00, 0.000e+00, 1.020e+03, 1.009e+03, 0.000e+00, 1.465e+02, 0.000e+00, -1.602e+02, 0.000e+00, -4.678e+00, 0.000e+00, 8.623e+00, -3.146e+01, -0.000e+00, -7.064e+01
7.600e-03, 6.510e+00, 0.000e+00, 1.020e+03, 1.013e+03, 0.000e+00, 1.156e+02, 0.000e+00, -1.674e+02, 0.000e+00, -4.414e+00, 0.000e+00, 8.761e+00, -2.743e+01, -0.000e+00, -5.572e+01
7.800e-03, 4.546e+00, 0.000e+00, 1.020e+03, 1.016e+03, 0.000e+00, 8.082e+01, 0.000e+00, -1.730e+02, 0.000e+00, -4.113e+00, 0.000e+00, 8.906e+00, -2.403e+01, -0.000e+00, -3.895e+01
8.000e-03, 2.372e+00, 0.000e+00, 1.020e+03, 1.019e+03, 0.000e+00, 4.220e+01, 0.000e+00, -1.765e+02, 0.000e+00, -3.774e+00, 0.000e+00, 9.055e+00, -2.166e+01, -0.000e+00, -2.033e+01
8.200e-03, 5.345e-01, 0.000e+00, 1.019e+03, 1.019e+03, 0.000e+00, 9.510e+00, 0.000e+00, -1.774e+02, 0.000e+00, -3.482e+00, 0.000e+00, 9.171e+00, -2.082e+01, -0.000e+00, -4.582e+00
8.400e-03, -1.594e+00, 0.000e+00, 1.019e+03, 1.019e+03, 0.000e+00, -2.836e+01, 0.000e+00, -1.760e+02, 0.000e+00, -3.138e+00, 0.000e+00, 9.294e+00, -2.117e+01, -0.000e+00, 1.366e+01
8.600e-03, -3.687e+00, 0.000e+00, 1.019e+03, 1.017e+03, 0.000e+00, -6.555e+01, 0.000e+00, -1.720e+02, 0.000e+00, -2.796e+00, 0.000e+00, 9.403e+00, -2.290e+01, -0.000e+00, 3.158e+01
